*****************************************************************************
ParFlow Output Log
		v3.3.0
	Compiled on    : Nov 30 2018 05:06:19
*****************************************************************************
==============================================
BEGIN Log Info (MGSemi)

coarsening direction
--------------------
        x
         y
        x
         y
        x
         y
        x
         y
        x

END Log Info
==============================================
==============================================
BEGIN Log Info (SolverRichards)

Transient Problem Solved.
-------------------------

Total Timesteps: 180

-------------------------
Sequence #       Time         \Delta t         Dumpfile #   Recompute?
  000147     1.470000e+02   1.000000e+00 p       000147          y
  000148     1.480000e+02   1.000000e+00 p       000148          y
  000149     1.490000e+02   1.000000e+00 p       000149          y
  000150     1.500000e+02   1.000000e+00 p       000150          y
  000151     1.510000e+02   1.000000e+00 p       000151          y
  000152     1.520000e+02   1.000000e+00 p       000152          y
  000153     1.530000e+02   1.000000e+00 p       000153          y
  000154     1.540000e+02   1.000000e+00 p       000154          y
  000155     1.550000e+02   1.000000e+00 p       000155          y
  000156     1.560000e+02   1.000000e+00 p       000156          y
  000157     1.570000e+02   1.000000e+00 p       000157          y
  000158     1.580000e+02   1.000000e+00 p       000158          y
  000159     1.590000e+02   1.000000e+00 p       000159          y
  000160     1.600000e+02   1.000000e+00 p       000160          y
  000161     1.610000e+02   1.000000e+00 p       000161          y
  000162     1.620000e+02   1.000000e+00 p       000162          y
  000163     1.630000e+02   1.000000e+00 p       000163          y
  000164     1.640000e+02   1.000000e+00 p       000164          y
  000165     1.650000e+02   1.000000e+00 p       000165          y
  000166     1.660000e+02   1.000000e+00 p       000166          y
  000167     1.670000e+02   1.000000e+00 p       000167          y
  000168     1.680000e+02   1.000000e+00 p       000168          y
  000169     1.690000e+02   1.000000e+00 p       000169          y
  000170     1.700000e+02   1.000000e+00 p       000170          y
  000171     1.710000e+02   1.000000e+00 p       000171          y
  000172     1.720000e+02   1.000000e+00 p       000172          y
  000173     1.730000e+02   1.000000e+00 p       000173          y
  000174     1.740000e+02   1.000000e+00 p       000174          y
  000175     1.750000e+02   1.000000e+00 p       000175          y
  000176     1.760000e+02   1.000000e+00 p       000176          y
  000177     1.770000e+02   1.000000e+00 p       000177          y
  000178     1.780000e+02   1.000000e+00 p       000178          y
  000179     1.790000e+02   1.000000e+00 p       000179          y
  000180     1.800000e+02   1.000000e+00 f       000180          y

Overland flow Results
  000000     0.000000e+00   0.000000e+00
  000001     1.000000e+00   1.000000e+00
  000002     2.000000e+00   1.000000e+00
  000003     3.000000e+00   1.000000e+00
  000004     4.000000e+00   1.000000e+00
  000005     5.000000e+00   1.000000e+00
  000006     6.000000e+00   1.000000e+00
  000007     7.000000e+00   1.000000e+00
  000008     8.000000e+00   1.000000e+00
  000009     9.000000e+00   1.000000e+00
  000010     1.000000e+01   1.000000e+00
  000011     1.100000e+01   1.000000e+00
  000012     1.200000e+01   1.000000e+00
  000013     1.300000e+01   1.000000e+00
  000014     1.400000e+01   1.000000e+00
  000015     1.500000e+01   1.000000e+00
  000016     1.600000e+01   1.000000e+00
  000017     1.700000e+01   1.000000e+00
  000018     1.800000e+01   1.000000e+00
  000019     1.900000e+01   1.000000e+00
  000020     2.000000e+01   1.000000e+00
  000021     2.100000e+01   1.000000e+00
  000022     2.200000e+01   1.000000e+00
  000023     2.300000e+01   1.000000e+00
  000024     2.400000e+01   1.000000e+00
  000025     2.500000e+01   1.000000e+00
  000026     2.600000e+01   1.000000e+00
  000027     2.700000e+01   1.000000e+00
  000028     2.800000e+01   1.000000e+00
  000029     2.900000e+01   1.000000e+00
  000030     3.000000e+01   1.000000e+00
  000031     3.100000e+01   1.000000e+00
  000032     3.200000e+01   1.000000e+00
  000033     3.300000e+01   1.000000e+00
  000034     3.400000e+01   1.000000e+00
  000035     3.500000e+01   1.000000e+00
  000036     3.600000e+01   1.000000e+00
  000037     3.700000e+01   1.000000e+00
  000038     3.800000e+01   1.000000e+00
  000039     3.900000e+01   1.000000e+00
  000040     4.000000e+01   1.000000e+00
  000041     4.100000e+01   1.000000e+00
  000042     4.200000e+01   1.000000e+00
  000043     4.300000e+01   1.000000e+00
  000044     4.400000e+01   1.000000e+00
  000045     4.500000e+01   1.000000e+00
  000046     4.600000e+01   1.000000e+00
  000047     4.700000e+01   1.000000e+00
  000048     4.800000e+01   1.000000e+00
  000049     4.900000e+01   1.000000e+00
  000050     5.000000e+01   1.000000e+00
  000051     5.100000e+01   1.000000e+00
  000052     5.200000e+01   1.000000e+00
  000053     5.300000e+01   1.000000e+00
  000054     5.400000e+01   1.000000e+00
  000055     5.500000e+01   1.000000e+00
  000056     5.600000e+01   1.000000e+00
  000057     5.700000e+01   1.000000e+00
  000058     5.800000e+01   1.000000e+00
  000059     5.900000e+01   1.000000e+00
  000060     6.000000e+01   1.000000e+00
  000061     6.100000e+01   1.000000e+00
  000062     6.200000e+01   1.000000e+00
  000063     6.300000e+01   1.000000e+00
  000064     6.400000e+01   1.000000e+00
  000065     6.500000e+01   1.000000e+00
  000066     6.600000e+01   1.000000e+00
  000067     6.700000e+01   1.000000e+00
  000068     6.800000e+01   1.000000e+00
  000069     6.900000e+01   1.000000e+00
  000070     7.000000e+01   1.000000e+00
  000071     7.100000e+01   1.000000e+00
  000072     7.200000e+01   1.000000e+00
  000073     7.300000e+01   1.000000e+00
  000074     7.400000e+01   1.000000e+00
  000075     7.500000e+01   1.000000e+00
  000076     7.600000e+01   1.000000e+00
  000077     7.700000e+01   1.000000e+00
  000078     7.800000e+01   1.000000e+00
  000079     7.900000e+01   1.000000e+00
  000080     8.000000e+01   1.000000e+00
  000081     8.100000e+01   1.000000e+00
  000082     8.200000e+01   1.000000e+00
  000083     8.300000e+01   1.000000e+00
  000084     8.400000e+01   1.000000e+00
  000085     8.500000e+01   1.000000e+00
  000086     8.600000e+01   1.000000e+00
  000087     8.700000e+01   1.000000e+00
  000088     8.800000e+01   1.000000e+00
  000089     8.900000e+01   1.000000e+00
  000090     9.000000e+01   1.000000e+00
  000091     9.100000e+01   1.000000e+00
  000092     9.200000e+01   1.000000e+00
  000093     9.300000e+01   1.000000e+00
  000094     9.400000e+01   1.000000e+00
  000095     9.500000e+01   1.000000e+00
  000096     9.600000e+01   1.000000e+00
  000097     9.700000e+01   1.000000e+00
  000098     9.800000e+01   1.000000e+00
  000099     9.900000e+01   1.000000e+00
  000100     1.000000e+02   1.000000e+00
  000101     1.010000e+02   1.000000e+00
  000102     1.020000e+02   1.000000e+00
  000103     1.030000e+02   1.000000e+00
  000104     1.040000e+02   1.000000e+00
  000105     1.050000e+02   1.000000e+00
  000106     1.060000e+02   1.000000e+00
  000107     1.070000e+02   1.000000e+00
  000108     1.080000e+02   1.000000e+00
  000109     1.090000e+02   1.000000e+00
  000110     1.100000e+02   1.000000e+00
  000111     1.110000e+02   1.000000e+00
  000112     1.120000e+02   1.000000e+00
  000113     1.130000e+02   1.000000e+00
  000114     1.140000e+02   1.000000e+00
  000115     1.150000e+02   1.000000e+00
  000116     1.160000e+02   1.000000e+00
  000117     1.170000e+02   1.000000e+00
  000118     1.180000e+02   1.000000e+00
  000119     1.190000e+02   1.000000e+00
  000120     1.200000e+02   1.000000e+00
  000121     1.210000e+02   1.000000e+00
  000122     1.220000e+02   1.000000e+00
  000123     1.230000e+02   1.000000e+00
  000124     1.240000e+02   1.000000e+00
  000125     1.250000e+02   1.000000e+00
  000126     1.260000e+02   1.000000e+00
  000127     1.270000e+02   1.000000e+00
  000128     1.280000e+02   1.000000e+00
  000129     1.290000e+02   1.000000e+00
  000130     1.300000e+02   1.000000e+00
  000131     1.310000e+02   1.000000e+00
  000132     1.320000e+02   1.000000e+00
  000133     1.330000e+02   1.000000e+00
  000134     1.340000e+02   1.000000e+00
  000135     1.350000e+02   1.000000e+00
  000136     1.360000e+02   1.000000e+00
